phase,area,perimeter,la,sa,lao
ksp,8597.803122962,486.1553482187,124.8380292747,96.6431259884,85.0926633664
pl,7397.74703374,485.8138062734,143.3113590491,84.164001255,42.9173916866
ksp,7621.5321542131,437.8683257146,112.2470608547,96.8631526907,70.1886066588
pl,2246.3978645588,235.0592346487,84.7566092867,36.2990361701,91.6157586802
pl,3858.5481001223,299.7565015383,92.2278100012,56.811520465,61.7106547422
ksp,1329.3296031778,156.0170039043,58.6228860085,32.2183709418,27.3174580188
pl,1001.1662192597,120.1748342003,39.9321883222,32.4043633702,97.760786258
pl,310.4630851917,90.9889023806,35.2246785501,12.8378885997,169.7508932862
ksp,163.7513299618,54.3236597111,19.3940308856,11.850691641,78.5165047404
ksp,269.9574917544,75.7910132449,25.5365063957,14.3158905281,42.6105171348
pl,168.5976323306,57.2670615236,19.6935536326,11.6116211911,30.6169923373
ksp,1834.0827203595,184.6011546854,62.1856009642,39.6706343113,74.6261459631
pl,4127.4959418617,291.0436978067,91.758541652,67.3564872975,73.2833973785
qtz,89971.3908475275,1832.7259745486,515.5664367757,255.2439047928,48.217912178
qtz,392.6652911209,85.0435157096,24.9657531955,21.8448360183,172.6679723633
ksp,870.3018785781,126.9246054618,46.3726009874,25.5275671754,178.7657010076
qtz,588.1263277533,101.2477486984,39.7784892203,19.6060881418,96.8669670224
ksp,2587.8697111558,202.5287734622,64.9052188335,52.3079452081,168.1813525492
ksp,548.3602959865,102.6499162767,40.7894386354,18.5470864081,102.1538585704
pl,1618.7309841479,167.9360912448,64.3393923033,33.9823277025,66.1126687792
qtz,1049.2021617366,195.5136510598,81.9912800628,20.1252459844,74.6104375938
qtz,896.0790523257,160.365168433,50.9826355697,34.4549714598,99.1315000217
ksp,1647.7897248816,199.2972503488,59.1827633422,40.4480883499,49.3828424417
ksp,588.7760458887,104.4218867173,38.9732326033,20.0401642104,175.1134870276
ksp,3943.1298089151,293.8683974472,94.0222372438,62.3624130896,173.4250521862
qtz,8267.9296654746,466.1761481296,120.9502112681,96.9384623051,58.8481907192
qtz,155.9014118217,52.8411787341,17.4929379768,11.859470218,28.0722460512
pl,4201.7555340145,368.2720356672,90.1127671809,72.7844056246,153.4151779225
qtz,563.8375536589,111.0106364578,35.3031182721,25.5918964913,69.2533165324
ksp,8705.6832142942,617.8724838216,160.0858118312,89.8183538774,107.1133609647
qtz,966.2416292418,120.4733856645,43.194468125,28.9802190377,84.7766185535
pl,3495.5846692739,298.2648646173,91.4896147665,57.0580928605,70.4420356412
pl,329.2854011806,79.6961606016,33.6136988701,12.6331637526,86.3016922193
ksp,4255.0075424578,335.2217893896,95.1278981565,65.8900181417,54.5416617755
ksp,7159.9238136391,614.6514495957,205.6458307098,60.7806027437,61.7828020778
qtz,47164.4362478171,965.8582474214,327.5429642671,209.0677375306,148.5770574707
qtz,3086.9082300207,239.0837282797,78.1135681587,54.3521538805,137.1987594784
ksp,4503.8955298129,269.0411292976,91.0656795512,68.6913266351,168.7332641406
ksp,3610.9419947367,266.6897028845,78.6884107248,67.0389899069,61.0482048052
pl,3258.7913048476,223.6373739226,79.6720119503,54.396020127,87.9870912966
pl,2223.3005857687,180.1583762679,66.4410844841,43.0177779256,94.1159320581
pl,1675.5106237188,160.6076306565,58.6152397349,36.8573330828,86.9532576967
qtz,1805.4709973684,198.3184534027,66.4022984613,41.5646207635,96.2767006283
ksp,2497.1955667936,205.6238038714,78.6555527625,41.3838547128,84.6369197828
pl,746.2240809556,107.0311544346,36.7372027354,26.6709654712,24.3568752027
pl,2723.5781531509,244.8993582204,99.266146443,40.161815957,38.6268171274
qtz,2386.7991203601,208.6508458126,72.1844448497,45.4136333271,57.9900677417
pl,5417.8104154777,356.7833627923,139.8081689064,53.3196376088,74.905283376
qtz,3342.6367072021,276.0145108008,102.165187179,48.0647435851,96.4808709802
pl,4038.553546745,257.0920429308,82.0346119257,65.3288653209,116.5554928327
qtz,13542.4299036353,574.1409078156,219.3665806392,86.2574652833,85.5873568473
ksp,347.9584197715,77.2313867179,23.4347590502,20.5729935193,161.8746937289
qtz,2272.6455224991,239.4288354407,85.0577139592,42.7603665604,94.9418452097
ksp,5593.8991628945,335.3303056992,105.2246004712,70.5208703514,9.738644732
qtz,16725.3565616052,658.3940629122,173.36775429,133.555875821,23.9305228944
ksp,0.4065424991,4.3096404215,1.7153438114,0.3648907696,84.3505338838
ksp,16011.4405111101,604.1634133946,219.8554954434,96.9601082801,112.9940139344
pl,614.3183099671,118.2440368416,42.799521531,21.3827370312,119.1140713019
pl,2314.4687197161,205.3348189666,63.000027015,52.024506997,1.1279649028
ksp,2140.9138972855,190.3911106186,64.4547336016,45.7252477522,44.0885326964
ksp,4502.6756012628,404.6198446196,166.9561139489,46.6206899992,39.6223107151
ksp,16557.824565623,593.5291071049,227.9295403614,97.5173762334,88.1689114773
ksp,1378.7335175998,164.2680538775,68.7225935702,26.2049645817,83.3548062704
pl,2706.5524735875,230.3335537981,76.3843799535,48.1138792067,92.2595894166
pl,166.1582121744,55.2767336174,16.8402810469,14.2102996464,94.466573616
ksp,22500.9280830708,902.8513219584,280.0853358106,144.4532880429,36.5273470089
qtz,9582.8440268001,510.7390528525,155.4848702898,91.4498259359,66.8752260577
pl,3626.3807443517,314.9604919829,100.8151889856,53.7933050221,76.7937655186
pl,1100.3150753768,134.5493907359,45.8214876865,32.044296672,137.3727247745
pl,2219.7946057961,206.5742070487,84.0587988877,35.6146825471,93.9327832223
ksp,7414.113983359,464.8535354131,140.18866758,97.0228596317,49.9138949552
pl,13591.2665587985,461.3861867075,142.110156936,124.877882389,91.0445391279
ksp,7845.8257618655,478.3099670644,193.840133817,56.3062245941,84.9178699324
ksp,1290.5426570249,154.7272199708,49.9708849684,36.785851083,20.4081730575
pl,1708.4764000472,175.551188396,66.4724685918,33.2996053157,81.0789339715
pl,875.6706996658,128.2150930231,46.7508602398,26.6987902621,49.9240176784
pl,2930.1288796508,249.4080386989,100.7255356895,39.2849059869,136.4829152409
pl,589.3937401597,102.470203016,35.4338271954,22.3700871997,7.8101164343
pl,927.7210559396,131.7843943495,51.1465234101,24.5088660349,164.8821433618
